,TOTAL_ORDERS,REVENUE,AVERAGE_ORDER_VALUE,CARRIAGE_REVENUE,AVERAGESHIPPING,FIRST_ORDER_DATE,LATEST_ORDER_DATE,AVGDAYSBETWEENORDERS,DAYSSINCELASTORDER
903,29,3147.23,108.53,137.73,4.75,14-Jun-17,01-Sep-21,53.1,54
1297,17,2739.86,161.17,82.86,4.87,28-Feb-19,01-Sep-21,53.88,54
2008,18,2329.36,129.41,73.86,4.1,17-Apr-20,01-Sep-21,27.89,54
2115,24,2270.29,94.6,110.79,4.62,20-May-18,01-Sep-21,50,54
3564,21,1825.32,86.92,97.82,4.66,08-Jul-18,01-Sep-21,54.81,54
6479,19,1401.61,73.77,72.86,3.83,29-May-20,01-Sep-21,24.21,54
10849,9,1094.95,121.66,27.95,3.11,28-Nov-14,01-Sep-21,274.33,54
21551,9,752.33,83.59,33.73,3.75,24-Sep-14,01-Sep-21,281.56,54
47864,5,441.95,88.39,4.95,0.99,21-Mar-15,01-Sep-21,471.2,54
152881,2,141.04,70.52,10.94,5.47,11-Oct-14,01-Sep-21,1258.5,54
159727,2,133.09,66.55,5.99,3,28-Nov-14,01-Sep-21,1234.5,54
248709,2,59.95,29.98,4.95,2.48,03-Jan-15,01-Sep-21,1216.5,54
311,35,4696.36,134.18,47.9,1.37,02-Apr-15,31-Aug-21,66.94,55
587,26,3754.5,144.4,119.8,4.61,10-May-19,31-Aug-21,32.46,55
837,19,3248.02,170.95,62.02,3.26,19-Mar-20,31-Aug-21,27.89,55
858,9,3218.15,357.57,20.05,2.23,15-Jul-19,31-Aug-21,86.44,55
942,21,3093.67,147.32,99.83,4.75,22-Jul-19,31-Aug-21,36.71,55
1483,31,2604.37,84.01,112.57,3.63,12-Oct-18,31-Aug-21,34,55
1577,21,2552.35,121.54,89.85,4.28,08-Jan-17,31-Aug-21,80.76,55
2600,15,2084.26,138.95,73.86,4.92,17-Oct-19,31-Aug-21,45.6,55
2767,13,2027.57,155.97,69.87,5.37,02-Apr-15,31-Aug-21,180.23,55
3249,21,1892.09,90.1,112.79,5.37,18-Apr-16,31-Aug-21,93.38,55
3278,22,1886.11,85.73,96.81,4.4,29-Sep-20,31-Aug-21,15.27,55
6055,15,1443.79,96.25,45.79,3.05,27-Jun-14,31-Aug-21,174.8,55
8455,7,1239.98,177.14,12.98,1.85,05-Dec-14,31-Aug-21,351.57,55
14584,6,938.02,156.34,20.92,3.49,29-Jul-14,31-Aug-21,431.67,55
21230,9,758.94,84.33,32.94,3.66,20-Jun-14,31-Aug-21,292.11,55
95937,2,239,119.5,0,0,28-Nov-14,31-Aug-21,1234,55
139099,2,159.95,79.98,4.95,2.48,07-Jun-14,31-Aug-21,1321,55
194674,2,98.95,49.48,4.95,2.48,30-May-14,31-Aug-21,1325,55
254,28,4982.03,177.93,33.93,1.21,04-Mar-16,30-Aug-21,71.61,56
340,23,4496.84,195.51,82.84,3.6,07-Oct-16,30-Aug-21,77.74,56
517,22,3870.5,175.93,99.8,4.54,17-Sep-19,30-Aug-21,32.41,56
603,13,3697.58,284.43,10.98,0.84,03-Sep-19,30-Aug-21,55.92,56
609,26,3672.51,141.25,49.91,1.92,12-May-19,30-Aug-21,32.35,56
614,23,3658.73,159.08,92.83,4.04,14-Oct-19,30-Aug-21,29.83,56
652,18,3586.91,199.27,85.81,4.77,25-Jan-15,30-Aug-21,133.83,56
885,9,3180.31,353.37,23.71,2.63,12-Jan-18,30-Aug-21,147.33,56
966,12,3071.65,255.97,28.95,2.41,09-Sep-19,30-Aug-21,60.08,56
968,44,3068.29,69.73,183.69,4.17,13-Nov-16,30-Aug-21,39.8,56
1274,16,2763.94,172.75,65.84,4.12,21-Jun-14,30-Aug-21,164.19,56
2502,25,2117.37,84.69,86.37,3.45,11-Oct-15,30-Aug-21,86,56
3237,38,1895.71,49.89,71.51,1.88,15-Jan-19,30-Aug-21,25.21,56
3791,21,1776.42,84.59,89.82,4.28,31-Jul-19,30-Aug-21,36.24,56
12601,20,1013.18,50.66,88.83,4.44,04-Apr-20,30-Aug-21,25.65,56
31013,6,598.84,99.81,16.34,2.72,11-Feb-15,30-Aug-21,398.67,56
67487,5,333.49,66.7,4.99,1,28-Nov-14,30-Aug-21,493.4,56
90,9,7096.76,788.53,22.96,2.55,10-Feb-17,29-Aug-21,184.56,57
236,41,5123.76,124.97,146.76,3.58,19-Jan-18,29-Aug-21,32.15,57
936,23,3099.59,134.76,63.99,2.78,13-Jul-17,29-Aug-21,65.57,57
989,33,3037.2,92.04,157.7,4.78,01-Aug-17,29-Aug-21,45.12,57
1196,22,2815.43,127.97,120.68,5.49,30-Jul-14,29-Aug-21,117.59,57
1765,17,2442.37,143.67,77.82,4.58,30-Mar-14,29-Aug-21,159.35,57
9355,11,1180.21,107.29,26.91,2.45,02-Mar-14,29-Aug-21,248.82,57
203057,2,92.44,46.22,10.94,5.47,28-Nov-14,29-Aug-21,1233,57
277160,3,38.5,12.83,12.4,4.13,21-Nov-14,29-Aug-21,824.33,57
26,156,11349.58,72.75,462.93,2.97,08-Oct-19,28-Aug-21,4.42,58
382,21,4278.98,203.76,66.88,3.18,26-Dec-17,28-Aug-21,63.86,58
640,23,3615,157.17,59.9,2.6,22-Jan-21,28-Aug-21,9.48,58
1130,39,2887.53,74.04,140.73,3.61,08-Dec-19,28-Aug-21,16.13,58
1502,27,2592.31,96.01,111.31,4.12,13-Jun-17,28-Aug-21,56.93,58
1781,12,2434.5,202.88,75.04,6.25,29-Oct-20,28-Aug-21,25.25,58
2240,21,2212.93,105.38,103.83,4.94,25-Dec-18,28-Aug-21,46.52,58
2819,18,2013.84,111.88,88.84,4.94,06-Feb-19,28-Aug-21,51.89,58
2936,15,1979.11,131.94,71.86,4.79,04-Dec-16,28-Aug-21,115.2,58
7864,9,1283.99,142.67,6.99,0.78,26-Jun-14,28-Aug-21,291.11,58
16464,10,878.86,87.89,21.96,2.2,21-Dec-14,28-Aug-21,244.2,58
23333,9,717.67,79.74,19.97,2.22,30-Mar-15,28-Aug-21,260.33,58
25488,12,678.3,56.53,42.8,3.57,14-Feb-14,28-Aug-21,229.33,58
66722,3,336.94,112.31,9.94,3.31,17-Jun-14,28-Aug-21,876.33,58
71162,3,318.59,106.2,3.99,1.33,15-Nov-14,28-Aug-21,826,58
282,20,4851.06,242.55,19.96,1,16-Aug-20,27-Aug-21,18.8,59
500,25,3901.01,156.04,107.81,4.31,07-Dec-18,27-Aug-21,39.76,59
752,44,3380.98,76.84,113.78,2.59,24-Nov-20,27-Aug-21,6.27,59
832,18,3257.01,180.95,56.91,3.16,30-Jan-17,27-Aug-21,92.78,59
876,12,3188.92,265.74,52.92,4.41,06-Nov-20,27-Aug-21,24.5,59
961,19,3074.91,161.84,49.91,2.63,26-Feb-20,27-Aug-21,28.84,59
1282,36,2754.75,76.52,71.9,2,23-Oct-17,27-Aug-21,39,59
2542,21,2105.25,100.25,78.85,3.75,07-Jun-20,27-Aug-21,21.24,59
3368,33,1867.74,56.6,83.84,2.54,30-Nov-20,27-Aug-21,8.18,59
3726,18,1788.69,99.37,58.84,3.27,11-Jan-15,27-Aug-21,134.44,59
5656,19,1486.35,78.23,79.85,4.2,15-Aug-18,27-Aug-21,58.32,59
8608,14,1229.36,87.81,77.86,5.56,21-Mar-21,27-Aug-21,11.36,59
9411,16,1176.37,73.52,81.57,5.1,22-Jun-21,27-Aug-21,4.13,59
12423,7,1019.92,145.7,21.92,3.13,08-Jun-14,27-Aug-21,376.71,59
86,23,7163,311.43,10,0.43,20-Oct-17,26-Aug-21,61.13,60
549,18,3809.96,211.66,74.86,4.16,08-May-20,26-Aug-21,26.39,60
550,24,3805.47,158.56,97.82,4.08,25-Dec-18,26-Aug-21,40.63,60
2518,33,2112.97,64.03,79.87,2.42,28-Jun-17,26-Aug-21,46.06,60
6201,19,1428.15,75.17,77.85,4.1,29-Apr-20,26-Aug-21,25.47,60
7895,7,1281.94,183.13,9.94,1.42,01-Jul-14,26-Aug-21,373.29,60
15513,13,906.37,69.72,76.87,5.91,02-Jul-19,26-Aug-21,60.46,60
44435,5,466.18,93.24,10.98,2.2,25-Apr-14,26-Aug-21,536,60
51137,6,419.56,69.93,22.96,3.83,04-Nov-14,26-Aug-21,414.5,60
65470,5,342.17,68.43,22.92,4.58,15-May-14,26-Aug-21,532,60
95264,4,240.49,60.12,5.99,1.5,03-Oct-14,26-Aug-21,629.75,60
162,27,5786.92,214.33,41.42,1.53,14-Feb-21,25-Aug-21,7.11,61
424,45,4165.65,92.57,59.95,1.33,06-Jan-19,25-Aug-21,21.38,61
629,17,3632.77,213.69,65.87,3.87,08-May-20,25-Aug-21,27.88,61
680,15,3527.89,235.19,67.89,4.53,04-Nov-20,25-Aug-21,19.6,61
1110,23,2909.83,126.51,94.83,4.12,09-Oct-18,25-Aug-21,45.7,61
1507,23,2588.97,112.56,71.87,3.12,06-Jun-20,25-Aug-21,19.35,61
1755,19,2445.95,128.73,78.85,4.15,28-Mar-16,25-Aug-21,104,61
2534,14,2107.34,150.52,77.74,5.55,29-Apr-15,25-Aug-21,165,61
2545,22,2104.72,95.67,92.82,4.22,04-Aug-17,25-Aug-21,67.36,61
3460,12,1849.22,154.1,26.87,2.24,24-Jun-14,25-Aug-21,218.25,61
3796,20,1775.8,88.79,111.8,5.59,19-Jul-20,25-Aug-21,20.1,61
4769,16,1609.47,100.59,79.87,4.99,12-Mar-21,25-Aug-21,10.38,61
6311,12,1417,118.08,58.9,4.91,03-Jul-14,25-Aug-21,217.5,61
8024,17,1271.34,74.78,92.84,5.46,08-Oct-18,25-Aug-21,61.88,61
9474,7,1172.75,167.54,8,1.14,11-Dec-14,25-Aug-21,349.86,61
30509,9,605.07,67.23,14.97,1.66,03-Feb-14,25-Aug-21,306.67,61
194315,2,99,49.5,0,0,25-Feb-15,25-Aug-21,1186.5,61
8,19,15840.36,833.7,81.86,4.31,07-Apr-18,24-Aug-21,65,62
148,43,5922.88,137.74,70.88,1.65,01-Jul-16,24-Aug-21,43.72,62
240,22,5090.73,231.4,68.38,3.11,25-May-17,24-Aug-21,70.55,62
577,20,3768.22,188.41,51.72,2.59,19-Aug-17,24-Aug-21,73.3,62
751,31,3386.43,109.24,95.83,3.09,23-Mar-19,24-Aug-21,28.55,62
923,22,3128.46,142.2,24.96,1.13,06-Sep-16,24-Aug-21,82.41,62
983,19,3044.29,160.23,79.69,4.19,29-Jun-14,24-Aug-21,137.53,62
1108,26,2912.01,112,107.81,4.15,27-Oct-19,24-Aug-21,25.65,62
1360,22,2682.75,121.94,81.85,3.72,09-Apr-19,24-Aug-21,39.45,62
2998,16,1960.08,122.51,75.88,4.74,29-Apr-20,24-Aug-21,30.13,62
3952,20,1741.2,87.06,78.85,3.94,05-Aug-18,24-Aug-21,55.75,62
27060,2,653.08,326.54,71.98,35.99,23-Aug-21,24-Aug-21,0.5,62
130,30,6137.82,204.59,89.82,2.99,10-Apr-20,23-Aug-21,16.67,63
185,40,5490.75,137.27,52.95,1.32,24-Mar-17,23-Aug-21,40.33,63
331,22,4557.89,207.18,73.89,3.36,18-Oct-19,23-Aug-21,30.68,63
643,13,3614.05,278,26.95,2.07,23-Jun-18,23-Aug-21,89,63
948,18,3086.19,171.46,54.89,3.05,19-Jul-18,23-Aug-21,62.83,63
1125,28,2892.48,103.3,145.73,5.2,25-Jan-19,23-Aug-21,33.61,63
1288,24,2747.8,114.49,101.8,4.24,25-Nov-20,23-Aug-21,11.29,63
1596,21,2540.77,120.99,86.87,4.14,25-Jun-21,23-Aug-21,2.81,63
1754,21,2446.51,116.5,105.81,5.04,25-Oct-20,23-Aug-21,14.38,63
1884,25,2387.04,95.48,86.84,3.47,07-Feb-20,23-Aug-21,22.52,63
3654,17,1804.14,106.13,72.86,4.29,21-Jan-20,23-Aug-21,34.12,63
11090,6,1080.95,180.16,29.95,4.99,03-Dec-14,23-Aug-21,409.17,63
16414,10,880.02,88,20.92,2.09,28-Nov-14,23-Aug-21,246,63
38362,5,518.75,103.75,1,0.2,15-Sep-14,23-Aug-21,506.8,63
64141,9,348.47,38.72,43.87,4.87,29-Aug-14,23-Aug-21,283.44,63
71,47,7874.51,167.54,164.71,3.5,21-Oct-17,22-Aug-21,29.81,64
145,40,5949.74,148.74,93.84,2.35,03-Aug-17,22-Aug-21,37,64
624,21,3638.58,173.27,65.88,3.14,25-Nov-16,22-Aug-21,82.43,64
772,21,3342.95,159.19,75.85,3.61,06-May-20,22-Aug-21,22.52,64
964,12,3072.14,256.01,33.94,2.83,10-Jan-20,22-Aug-21,49.17,64
1165,35,2850.87,81.45,123.77,3.54,18-Apr-19,22-Aug-21,24.49,64
1253,30,2776.41,92.55,151.71,5.06,10-Jun-20,22-Aug-21,14.6,64
3958,12,1740.34,145.03,52.89,4.41,25-Dec-14,22-Aug-21,202.67,64
7763,14,1291.86,92.28,83.86,5.99,25-Jun-18,22-Aug-21,82.43,64
9308,24,1183.83,49.33,97.83,4.08,27-Mar-21,22-Aug-21,6.17,64
19007,16,809.18,50.57,27.88,1.74,04-Feb-15,22-Aug-21,149.44,64
22611,5,731.49,146.3,4.99,1,06-Mar-15,22-Aug-21,472.2,64
27053,7,653.17,93.31,13.97,2,31-May-14,22-Aug-21,377.14,64
27566,9,645.99,71.78,32.89,3.65,08-Aug-14,22-Aug-21,285.67,64
38623,3,515.99,172,7.99,2.66,03-Oct-14,22-Aug-21,838.33,64
79216,5,288.88,57.78,20.88,4.18,01-Dec-14,22-Aug-21,491.2,64
108245,3,210,70,1,0.33,18-Dec-14,22-Aug-21,813,64
155394,3,138.95,46.32,4.95,1.65,24-Jul-14,22-Aug-21,862,64
155395,2,138.95,69.48,4.95,2.48,23-Jan-15,22-Aug-21,1201.5,64
119,28,6317.17,225.61,72.87,2.6,24-Mar-18,21-Aug-21,44.5,65
444,54,4081.49,75.58,286.49,5.31,13-Oct-16,21-Aug-21,32.83,65
656,34,3578.94,105.26,123.24,3.62,10-Jan-20,21-Aug-21,17.32,65
777,38,3332.26,87.69,45.94,1.21,14-Jun-18,21-Aug-21,30.63,65
791,19,3315.21,174.48,19.96,1.05,23-May-20,21-Aug-21,23.95,65
1001,29,3026.71,104.37,160.71,5.54,04-Nov-18,21-Aug-21,35.21,65
1408,21,2652.48,126.31,71.88,3.42,01-Jun-19,21-Aug-21,38.67,65
1555,17,2564.39,150.85,70.79,4.16,28-Feb-14,21-Aug-21,160.65,65
1582,27,2547.46,94.35,110.71,4.1,16-Oct-15,21-Aug-21,79.11,65
2822,17,2012.43,118.38,38.93,2.29,10-Dec-14,21-Aug-21,143.88,65
4514,17,1650.15,97.07,86.85,5.11,31-May-20,21-Aug-21,26.29,65
4580,6,1639.22,273.2,18.97,3.16,31-Jul-14,21-Aug-21,429.67,65
27327,7,649.79,92.83,6.99,1,20-Apr-14,21-Aug-21,382.86,65
36623,7,535.64,76.52,9.94,1.42,08-May-14,21-Aug-21,380.29,65
140,60,6022.3,100.37,88.5,1.48,07-Jan-21,20-Aug-21,3.75,66
344,62,4465.42,72.02,84.82,1.37,18-Aug-20,20-Aug-21,5.92,66
465,26,4005.69,154.07,61.89,2.38,19-Aug-19,20-Aug-21,28.15,66
591,8,3746.01,468.25,22.96,2.87,21-May-21,20-Aug-21,11.38,66
647,18,3604.93,200.27,42.93,2.39,10-Mar-19,20-Aug-21,49.67,66
828,23,3257.84,141.65,87.84,3.82,20-Mar-17,20-Aug-21,70.17,66
1479,28,2605.64,93.06,83.84,2.99,05-Jul-21,20-Aug-21,1.64,66
4321,18,1679.56,93.31,79.86,4.44,21-Apr-20,20-Aug-21,27,66
5671,19,1484.02,78.11,89.82,4.73,08-Dec-19,20-Aug-21,32.68,66
5870,16,1462.46,91.4,75.86,4.74,08-Feb-14,20-Aug-21,171.88,66
6518,19,1398.35,73.6,88.85,4.68,15-Jul-20,20-Aug-21,21.11,66
12835,21,1003.32,47.78,90.82,4.32,13-Nov-20,20-Aug-21,13.33,66
21240,17,758.71,44.63,79.41,4.67,15-Dec-20,20-Aug-21,14.59,66
42852,2,478.99,239.5,5.99,3,08-Dec-14,20-Aug-21,1223.5,66
182,41,5508.12,134.34,135.77,3.31,07-Jul-18,19-Aug-21,27.78,67
403,12,4228.92,352.41,49.92,4.16,24-May-20,19-Aug-21,37.67,67
683,23,3516.61,152.9,32.16,1.4,25-Jun-17,19-Aug-21,65.91,67
734,16,3411.37,213.21,74.87,4.68,06-May-19,19-Aug-21,52.25,67
779,25,3327.96,133.12,117.81,4.71,16-Oct-18,19-Aug-21,41.52,67
814,21,3281.03,156.24,46.93,2.23,18-May-19,19-Aug-21,39.24,67
833,20,3254.05,162.7,55.85,2.79,11-Jun-14,19-Aug-21,131.3,67
1030,30,2992.8,99.76,90.6,3.02,21-Nov-19,19-Aug-21,21.23,67
1044,19,2981.19,156.9,86.84,4.57,09-Jan-20,19-Aug-21,30.95,67
1191,30,2819.95,94,89.35,2.98,05-Dec-20,19-Aug-21,8.57,67
1597,17,2540.56,149.44,51.86,3.05,02-Aug-14,19-Aug-21,151.41,67
1816,24,2417.04,100.71,101.79,4.24,27-Dec-19,19-Aug-21,25.04,67
3843,26,1763.15,67.81,83.85,3.23,02-Jan-19,19-Aug-21,36.92,67
4718,23,1617.74,70.34,78.84,3.43,21-Nov-17,19-Aug-21,59.43,67
6117,18,1437.26,79.85,78.86,4.38,21-Aug-19,19-Aug-21,40.5,67
11673,14,1053.16,75.23,77.86,5.56,30-Mar-21,19-Aug-21,10.14,67
90861,4,252.18,63.05,11.98,3,24-Jun-14,19-Aug-21,653.25,67
212,21,5245.81,249.8,17.96,0.86,19-Dec-15,18-Aug-21,98.52,68
420,29,4172.93,143.89,155.73,5.37,07-Feb-19,18-Aug-21,31.83,68
460,30,4031.1,134.37,51.9,1.73,17-Apr-16,18-Aug-21,64.97,68
606,27,3679.62,136.28,43.92,1.63,24-Mar-19,18-Aug-21,32.52,68
621,15,3643.01,242.87,43.91,2.93,29-Nov-17,18-Aug-21,90.53,68
770,14,3346.94,239.07,26.94,1.92,28-Dec-20,18-Aug-21,16.64,68
1034,30,2990.45,99.68,118.8,3.96,08-May-17,18-Aug-21,52.1,68
1576,36,2552.8,70.91,164.7,4.58,06-Jul-19,18-Aug-21,21.5,68
2470,14,2130.07,152.15,75.87,5.42,17-Aug-20,18-Aug-21,26.14,68
2922,12,1984.3,165.36,187.8,15.65,14-May-17,18-Aug-21,129.75,68
3010,20,1956.25,97.81,77.85,3.89,12-May-16,18-Aug-21,96.2,68
4180,17,1699.96,100,72.86,4.29,13-Nov-19,18-Aug-21,37.88,68
4541,21,1646.13,78.39,84.83,4.04,10-Apr-20,18-Aug-21,23.57,68
6376,14,1411.08,100.79,42.88,3.06,07-Sep-14,18-Aug-21,181.21,68
6606,22,1390.43,63.2,96.83,4.4,08-Jan-20,18-Aug-21,26.73,68
8130,6,1263.98,210.66,12.98,2.16,10-Aug-14,18-Aug-21,427.5,68
17365,8,852.93,106.62,15.93,1.99,05-Mar-14,18-Aug-21,340.38,68
57564,4,381.03,95.26,14.93,3.73,02-Jan-15,18-Aug-21,605,68
68449,2,329.19,164.6,5.99,3,28-Nov-14,18-Aug-21,1227.5,68
86376,2,265.94,132.97,10.94,5.47,21-Jun-14,18-Aug-21,1307.5,68
223,15,5162.92,344.19,62.88,4.19,18-Sep-18,17-Aug-21,70.93,69
389,46,4261.88,92.65,184.23,4.01,03-Feb-14,17-Aug-21,59.83,69
896,13,3163.49,243.35,56.89,4.38,10-Nov-19,17-Aug-21,49.69,69
1354,16,2690.05,168.13,77.85,4.87,25-Jun-20,17-Aug-21,26.13,69
1465,24,2614.42,108.93,111.82,4.66,18-Sep-20,17-Aug-21,13.88,69
2680,20,2055.51,102.78,105.81,5.29,03-Oct-19,17-Aug-21,34.2,69
2740,21,2036.66,96.98,71.86,3.42,15-May-19,17-Aug-21,39.29,69
3044,19,1945.86,102.41,79.86,4.2,30-Jul-18,17-Aug-21,58.63,69
3119,29,1925.43,66.39,86.83,2.99,04-Sep-20,17-Aug-21,11.97,69
5547,16,1500.34,93.77,86.84,5.43,23-Aug-19,17-Aug-21,45.31,69
11621,16,1055.46,65.97,77.86,4.87,12-Oct-20,17-Aug-21,19.31,69
14547,21,939.15,44.72,76.85,3.66,17-Mar-21,17-Aug-21,7.29,69
26278,4,664.99,166.25,4.99,1.25,13-Dec-14,17-Aug-21,609.75,69
31723,6,589.99,98.33,4.99,0.83,15-Apr-14,17-Aug-21,446.83,69
46128,4,454.08,113.52,10.98,2.75,05-Jun-14,17-Aug-21,657.5,69
260,19,4960.41,261.07,44.91,2.36,09-Oct-17,16-Aug-21,74.05,70
291,35,4788.41,136.81,102.81,2.94,15-Nov-19,16-Aug-21,18.29,70
725,26,3423.09,131.66,110.79,4.26,10-Jul-16,16-Aug-21,71.65,70
1048,25,2979.05,119.16,76.85,3.07,12-Apr-16,16-Aug-21,78.08,70
1526,30,2579.08,85.97,77.88,2.6,18-Apr-16,16-Aug-21,64.87,70
1792,55,2430.41,44.19,130.01,2.36,18-Aug-17,16-Aug-21,26.53,70
5912,14,1458.8,104.2,50.9,3.64,23-Feb-14,16-Aug-21,195.07,70
6556,14,1394.26,99.59,73.86,5.28,17-Feb-18,16-Aug-21,91.14,70
18988,12,809.84,67.49,42.84,3.57,10-May-14,16-Aug-21,221.25,70
84571,2,270.99,135.5,5.99,3,11-May-14,16-Aug-21,1327,70
123,28,6265.99,223.79,65.89,2.35,09-Mar-19,15-Aug-21,31.79,71
306,39,4735.86,121.43,39.91,1.02,05-Feb-14,15-Aug-21,70.46,71
327,16,4592.1,287.01,65.9,4.12,01-Jun-18,15-Aug-21,73.19,71
423,27,4165.86,154.29,55.86,2.07,22-Aug-14,15-Aug-21,94.44,71
442,19,4097.22,215.64,70.87,3.73,01-Apr-20,15-Aug-21,26.37,71
592,13,3744.11,288.01,51.91,3.99,14-Jun-17,15-Aug-21,117.15,71
2317,25,2185.62,87.42,92.82,3.71,20-Jan-19,15-Aug-21,37.52,71
2322,22,2183.87,99.27,75.87,3.45,02-Dec-18,15-Aug-21,44.86,71
2376,19,2162.76,113.83,76.86,4.05,05-Sep-18,15-Aug-21,56.58,71
2649,18,2066.39,114.8,66.79,3.71,20-Dec-14,15-Aug-21,135,71
3254,15,1890.8,126.05,74.85,4.99,12-Mar-20,15-Aug-21,34.73,71
4023,16,1727.76,107.99,76.86,4.8,05-Aug-17,15-Aug-21,91.94,71
4035,17,1724.95,101.47,81.85,4.81,29-May-20,15-Aug-21,26.06,71
4284,15,1682.96,112.2,84.86,5.66,24-May-20,15-Aug-21,29.87,71
5932,19,1457.32,76.7,95.82,5.04,05-Feb-20,15-Aug-21,29.32,71
7642,20,1300.07,65,77.87,3.89,05-Nov-20,15-Aug-21,14.15,71
13875,15,962.87,64.19,78.87,5.26,22-May-20,15-Aug-21,30,71
49507,4,430.24,107.56,10.94,2.74,14-Dec-14,15-Aug-21,609,71
75474,3,301.53,100.51,14.93,4.98,12-Jan-15,15-Aug-21,802.33,71
127031,3,178.68,59.56,12.58,4.19,16-Jun-14,15-Aug-21,872.33,71
201434,2,94.04,47.02,9.94,4.97,07-Jan-15,15-Aug-21,1206,71
280,28,4856.92,173.46,56.92,2.03,10-Oct-18,14-Aug-21,37.11,72
409,20,4215.18,210.76,63.88,3.19,17-Sep-20,14-Aug-21,16.55,72
463,30,4009.41,133.65,56.91,1.9,21-Aug-16,14-Aug-21,60.63,72
470,31,3993.66,128.83,142.66,4.6,25-Feb-14,14-Aug-21,87.97,72
546,32,3815.16,119.22,40.96,1.28,05-Feb-17,14-Aug-21,51.59,72
580,16,3764.5,235.28,55.9,3.49,13-Jan-17,14-Aug-21,104.63,72
784,20,3322.88,166.14,66.88,3.34,03-May-18,14-Aug-21,59.95,72
822,7,3271.97,467.42,16.97,2.42,18-Dec-17,14-Aug-21,190.71,72
856,20,3220.88,161.04,63.88,3.19,15-Jul-14,14-Aug-21,129.35,72
893,11,3167.16,287.92,23.96,2.18,23-Dec-17,14-Aug-21,120.91,72
894,15,3166.94,211.13,34.94,2.33,09-Dec-18,14-Aug-21,65.27,72
986,18,3041.83,168.99,42.93,2.39,12-Jan-19,14-Aug-21,52.5,72
1626,40,2526.73,63.17,146.73,3.67,20-Dec-18,14-Aug-21,24.2,72
4945,17,1582.46,93.09,71.86,4.23,06-Nov-19,14-Aug-21,38.06,72
10156,17,1131.54,66.56,35.94,2.11,03-Jan-15,14-Aug-21,142.06,72
11120,8,1079.08,134.89,24.83,3.1,11-Nov-14,14-Aug-21,308.5,72
11484,9,1061.95,117.99,5.95,0.66,09-Jul-14,14-Aug-21,288.11,72
15729,11,900.29,81.84,43.79,3.98,23-Oct-14,14-Aug-21,226.09,72
46927,4,448.04,112.01,9.94,2.49,08-Sep-14,14-Aug-21,633,72
70622,3,320.08,106.69,9.98,3.33,17-Aug-14,14-Aug-21,851.33,72
47,111,8821.84,79.48,231.67,2.09,22-Mar-17,13-Aug-21,14.46,73
2933,7,1979.92,282.85,21.92,3.13,01-May-14,13-Aug-21,380.14,73
5445,17,1510.86,88.87,74.86,4.4,13-Jan-18,13-Aug-21,76.94,73
7689,15,1296.65,86.44,76.85,5.12,18-Apr-19,13-Aug-21,56.53,73
7807,22,1288.22,58.56,92.82,4.22,01-Dec-18,13-Aug-21,44.82,73
8961,7,1205.93,172.28,16.93,2.42,23-Mar-14,13-Aug-21,385.71,73
12309,16,1024.2,64.01,79.85,4.99,05-Sep-19,13-Aug-21,44.25,73
30645,10,603.37,60.34,45.87,4.59,24-Jan-15,13-Aug-21,239.3,73
30828,8,600.96,75.12,20.96,2.62,17-Jul-14,13-Aug-21,323,73
31159,6,596.86,99.48,32.86,5.48,16-Oct-14,13-Aug-21,415.5,73
111891,3,203.08,67.69,9.98,3.33,25-Nov-14,13-Aug-21,817.67,73
116954,3,194.44,64.81,9.94,3.31,26-May-14,13-Aug-21,878.67,73
144747,3,151.94,50.65,9.94,3.31,22-Jul-14,13-Aug-21,859.67,73
30,49,10364.66,211.52,163.61,3.34,19-Nov-14,12-Aug-21,50.16,74
451,29,4052.63,139.75,92.83,3.2,02-Nov-19,12-Aug-21,22.38,74
1315,21,2718.89,129.47,104.81,4.99,14-Jun-20,12-Aug-21,20.19,74
1508,26,2588.43,99.56,95.83,3.69,22-Mar-19,12-Aug-21,33.62,74
3565,22,1825.24,82.97,91.84,4.17,10-Feb-20,12-Aug-21,24.95,74
3589,20,1819.46,90.97,82.86,4.14,15-Sep-19,12-Aug-21,34.85,74
3865,22,1758.78,79.94,121.78,5.54,30-Sep-18,12-Aug-21,47.59,74
5204,22,1545.89,70.27,111.79,5.08,25-Jun-20,12-Aug-21,18.77,74
5697,20,1480.83,74.04,89.83,4.49,05-Mar-21,12-Aug-21,8,74
6194,26,1428.85,54.96,80.85,3.11,10-Jan-21,12-Aug-21,8.23,74
9239,5,1186.98,237.4,11.98,2.4,01-Aug-14,12-Aug-21,513.6,74
11245,7,1072.56,153.22,19.96,2.85,28-Oct-14,12-Aug-21,354.29,74
15451,17,908.58,53.45,68.78,4.05,18-Apr-14,12-Aug-21,157.24,74
22869,8,726.2,90.78,33.9,4.24,25-Mar-14,12-Aug-21,337.13,74
46209,3,453.48,151.16,9.98,3.33,22-Feb-15,12-Aug-21,787.67,74
71872,4,315.13,78.78,16.93,4.23,24-Jul-14,12-Aug-21,644,74
154,37,5840.36,157.85,128.76,3.48,09-Dec-19,11-Aug-21,16.51,75
471,20,3992.89,199.64,66.89,3.34,17-Mar-19,11-Aug-21,43.9,75
556,18,3802.62,211.26,53.87,2.99,01-Aug-14,11-Aug-21,142.61,75
610,15,3670.47,244.7,14.97,1,01-Apr-21,11-Aug-21,8.8,75
